Trial,Eccentricity (degrees),Reaction Time (s),Direction,Color,Correctness,1/2/3 Colors,Name,Attention,Circle Size (degrees)
256,20,0.3083271,2,"[0, 0, 255]",1,2,B,Covert,4
257,20,0.447142,2,"[255, 255, 0]",1,2,B,Covert,4
258,20,0.4138919,2,"[255, 255, 0]",1,2,B,Covert,4
259,20,0.4263629,2,"[255, 255, 0]",1,2,B,Covert,4
260,20,0.4084047,2,"[255, 255, 0]",1,2,B,Covert,4
261,20,0.3431432,2,"[255, 255, 0]",1,2,B,Covert,4
262,20,0.3632612,2,"[255, 255, 0]",1,2,B,Covert,4
263,20,0.3467157,2,"[255, 255, 0]",1,2,B,Covert,4
264,20,0.3071608,2,"[255, 255, 0]",1,2,B,Covert,4
265,25,0.4027253,0,"[255, 255, 0]",0,2,B,Covert,4
266,25,0.4295846,0,"[0, 0, 255]",1,2,B,Covert,4
267,25,0.3968802,0,"[0, 0, 255]",1,2,B,Covert,4
268,25,0.3464625,0,"[0, 0, 255]",1,2,B,Covert,4
269,25,0.334067,0,"[0, 0, 255]",1,2,B,Covert,4
270,25,0.3041337,0,"[0, 0, 255]",1,2,B,Covert,4
271,25,0.2951834,0,"[0, 0, 255]",1,2,B,Covert,4
272,25,0.217922,0,"[0, 0, 255]",1,2,B,Covert,4
273,25,0.5863558,0,"[255, 255, 0]",1,2,B,Covert,4
274,25,0.3170722,0,"[255, 255, 0]",1,2,B,Covert,4
275,25,0.3235237,0,"[255, 255, 0]",1,2,B,Covert,4
276,25,0.25811,0,"[255, 255, 0]",1,2,B,Covert,4
277,25,0.4840268,2,"[0, 0, 255]",1,2,B,Covert,4
278,25,0.4440926,2,"[0, 0, 255]",1,2,B,Covert,4
279,25,0.4371064,2,"[0, 0, 255]",1,2,B,Covert,4
280,25,0.3594869,2,"[0, 0, 255]",1,2,B,Covert,4
281,25,0.3691643,2,"[0, 0, 255]",1,2,B,Covert,4
282,25,0.3170013,2,"[0, 0, 255]",1,2,B,Covert,4
283,25,0.4722431,2,"[255, 255, 0]",1,2,B,Covert,4
284,25,0.3528636,2,"[255, 255, 0]",1,2,B,Covert,4
285,25,0.3379265,2,"[255, 255, 0]",1,2,B,Covert,4
286,25,0.3126623,2,"[255, 255, 0]",1,2,B,Covert,4
287,25,0.3029712,2,"[255, 255, 0]",1,2,B,Covert,4
288,25,0.2852438,2,"[255, 255, 0]",1,2,B,Covert,4
289,30,0.5253398,0,"[0, 0, 255]",1,2,B,Covert,4
290,30,0.3815654,0,"[0, 0, 255]",1,2,B,Covert,4
291,30,0.3574691,0,"[0, 0, 255]",1,2,B,Covert,4
292,30,0.3324722,0,"[0, 0, 255]",1,2,B,Covert,4
293,30,0.3387896,0,"[0, 0, 255]",1,2,B,Covert,4
294,30,0.3746415,0,"[0, 0, 255]",1,2,B,Covert,4
295,30,0.2806799,0,"[0, 0, 255]",1,2,B,Covert,4
296,30,0.2992579,0,"[0, 0, 255]",1,2,B,Covert,4
297,30,0.4511435,0,"[255, 255, 0]",1,2,B,Covert,4
298,30,0.3714513,0,"[255, 255, 0]",1,2,B,Covert,4
299,30,0.2891048,0,"[255, 255, 0]",1,2,B,Covert,4
300,30,0.2850062,0,"[255, 255, 0]",1,2,B,Covert,4
301,30,0.4960464,2,"[0, 0, 255]",1,2,B,Covert,4
